treatment,zip5,unique_key,age,channel_cd,state,canc_month,resp,conv,region,division,cancel_reason_bucket,annual_premium_select,driver_cnt_select,vehicle_cnt_select,polk_flag,pif_own_rent_cd,internet_sale_ind,pif_risk_lvl
HO,80030,1,36,DM,CO,22,0,0,West,Mountain,Non-Payment,,,,1,T,Y,C
HO,6607,2,57,DM,CT,12,0,0,Northeast,New_England,Other Company (Y),590,2,1,1,O,Y,B
HO,70458,3,44,DM,LA,22,0,0,South,West_South_Central,Non-Payment,776,1,1,1,T,Y,B
HO,35148,4,36,DM_EM,AL,14,0,0,South,East_South_Central,Other Company (Y),605,4,1,1,T,Y,B
HO,33009,5,,DM,FL,8,0,0,South,South_Atlantic,Other Company (Y),664,2,1,1,T,Y,C
HO,43219,6,29,DM,OH,13,0,0,Midwest,East_North_Central,Non-Payment,2056,1,1,1,T,N,C
HO,18064,7,50,DM,PA,17,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),1523,1,1,1,,,
HO,7306,8,42,DM,NJ,13,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),658,2,1,1,T,N,B
HO,93065,9,36,DM,CA,18,0,0,West,Pacific,Other Company (Y),1377,1,1,1,O,Y,B
HO,97229,10,44,DM,OR,13,0,0,West,Pacific,Rate dissatisfaction (Y),,,,1,T,Y,C
HO,73527,11,,DM,OK,4,0,0,South,West_South_Central,Non-Payment,1600,5,2,0,T,Y,C
HO,33772,12,27,DM_EM,FL,23,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1140,1,1,1,,,
HO,30340,13,44,DM,GA,4,0,0,South,South_Atlantic,Non-Payment,2238,1,2,1,T,Y,D
HO,6511,14,27,DM_EM,CT,7,0,0,Northeast,New_England,Sold car/Inoperable/Not running (Y),553,2,1,1,T,N,C
HO,85249,15,,DM,AZ,19,0,0,West,Mountain,Rate dissatisfaction (Y),436,2,1,1,,Y,B
HO,35956,16,,DM,AL,22,0,0,South,East_South_Central,Others,784,3,1,1,T,N,B
HO,84094,17,26,DM,UT,10,0,0,West,Mountain,Other Company (Y),299,1,1,1,T,Y,C
HO,30252,18,50,DM,GA,15,0,0,South,South_Atlantic,Other Company (Y),2139,1,1,1,O,N,D
HO,36606,19,31,DM,AL,5,0,0,South,East_South_Central,Non-Payment,315,1,1,1,T,N,B
HO,33701,20,31,DM,FL,17,0,0,South,South_Atlantic,Non-Payment,1066,1,1,1,T,Y,B
HO,35958,21,80,DM_EM,AL,14,0,0,South,East_South_Central,Sold car/Inoperable/Not running (Y),687,2,1,1,O,N,C
HO,24210,22,,DM,VA,8,0,0,South,South_Atlantic,Non-Payment,1420,2,2,1,T,N,D
HO,33030,23,61,DM,FL,4,0,0,South,South_Atlantic,Non-Payment,1431,2,3,1,O,Y,B
HO,34667,24,83,DM,FL,19,0,0,South,South_Atlantic,Other Company (Y),741,1,1,1,O,Y,C
HO,11220,25,,DM_EM,NY,14,0,0,Northeast,Middle_Atlantic,Other Company (Y),1404,1,1,1,T,Y,B
HO,85008,26,31,DM,AZ,13,0,0,West,Mountain,Other Company (Y),596,1,1,1,T,Y,B
HO,82072,27,32,DM,WY,20,0,0,West,Mountain,Other Company (Y),357,2,2,1,T,N,D
HO,85379,28,64,DM,AZ,8,0,0,West,Mountain,Non-Payment,915,2,4,1,O,N,B
HO,77077,29,41,DM,TX,16,0,0,South,West_South_Central,Other Company (Y),2182,1,1,1,T,N,D
HO,30815,30,39,DM,GA,19,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1016,2,2,1,O,N,B
HO,85750,31,,DM,AZ,12,0,0,West,Mountain,Other Company (Y),2280,4,2,1,T,N,D
HO,84119,32,27,DM_EM,UT,12,0,0,West,Mountain,Non-Payment,1091,1,1,1,T,Y,D
HO,32221,33,34,DM,FL,24,0,0,South,South_Atlantic,Non-Payment,777,2,1,1,T,Y,C
HO,18080,34,,DM,PA,5,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),472,1,1,1,O,Y,B
HO,44720,35,24,DM,OH,17,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),1458,1,1,1,T,N,C
HO,89503,36,60,DM,NV,8,0,0,West,Mountain,Non-Payment,348,1,1,1,O,N,B
HO,91737,37,51,DM,CA,12,0,0,West,Pacific,Other Company (Y),,,,1,,,
HO,37204,38,26,DM,TN,8,0,0,South,East_South_Central,Non-Payment,356,1,1,1,T,Y,B
HO,28214,39,50,DM,NC,16,0,0,South,South_Atlantic,Non-Payment,1051,2,2,1,,,
HO,63937,40,24,DM,MO,8,0,0,Midwest,West_North_Central,Non-Payment,1710,2,1,1,T,N,D
HO,34293,41,36,DM_EM,FL,14,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1292,1,1,1,O,N,D
HO,33458,42,,DM,FL,4,0,0,South,South_Atlantic,Other Company (Y),715,2,1,1,T,N,C
HO,61761,43,46,DM,IL,5,0,0,Midwest,East_North_Central,Other Company (Y),817,3,2,1,O,Y,B
HO,75077,44,36,DM_EM,TX,20,0,0,South,West_South_Central,No reason given (Y),2242,2,2,1,,,
HO,78617,45,,DM_EM,TX,24,0,0,South,West_South_Central,Other Company (Y),285,1,1,1,O,Y,B
HO,92518,46,57,DM_EM,CA,18,0,0,West,Pacific,Other Company (Y),767,1,1,1,T,Y,B
HO,36117,47,39,DM,AL,16,0,0,South,East_South_Central,Rate dissatisfaction (Y),858,2,2,1,T,Y,C
HO,46703,48,,DM_EM,IN,24,0,0,Midwest,East_North_Central,Others,479,2,1,1,T,Y,B
HO,75149,49,,DM,TX,4,0,0,South,West_South_Central,Non-Payment,973,1,1,1,T,Y,D
HO,98338,50,,DM,WA,12,0,0,West,Pacific,Non-Payment,803,2,1,1,,N,B
HO,28146,51,26,DM,NC,22,0,0,South,South_Atlantic,Sold car/Inoperable/Not running (Y),658,1,1,1,T,N,C
HO,61570,52,,DM,IL,11,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),682,1,1,1,T,Y,C
HO,33351,53,,DM,FL,11,0,0,South,South_Atlantic,Other Company (Y),1213,1,1,1,T,N,D
HO,13219,54,44,DM,NY,4,0,0,Northeast,Middle_Atlantic,Other Company (Y),772,1,1,1,T,Y,C
HO,75034,55,,DM,TX,13,0,0,South,West_South_Central,Rate dissatisfaction (Y),754,1,1,1,T,Y,B
HO,75407,56,35,DM,TX,7,0,0,South,West_South_Central,Rate dissatisfaction (Y),1222,2,2,1,O,Y,B
HO,77494,57,68,DM,TX,5,0,0,South,West_South_Central,Other Company (Y),3689,4,4,1,O,Y,C
HO,3561,58,29,DM,NH,4,0,0,Northeast,New_England,Non-Payment,852,2,2,1,T,Y,C
HO,23453,59,31,DM_EM,VA,7,0,0,South,South_Atlantic,Non-Payment,652,1,1,1,T,N,D
HO,32937,60,70,DM,FL,4,0,0,South,South_Atlantic,Rate dissatisfaction (Y),970,1,1,1,O,Y,B
HO,77062,61,64,DM,TX,4,0,0,South,West_South_Central,Rate dissatisfaction (Y),1906,4,2,1,R,Y,B
HO,90805,62,,DM,CA,6,0,0,West,Pacific,Non-Payment,441,1,1,1,T,Y,D
HO,29466,63,51,DM,SC,4,0,0,South,South_Atlantic,Other Company (Y),3070,3,2,1,T,Y,D
HO,76036,64,81,DM,TX,11,0,0,South,West_South_Central,Other Company (Y),1074,2,2,1,O,Y,C
HO,93534,65,29,DM,CA,19,0,0,West,Pacific,Non-Payment,603,2,1,1,T,Y,B
HO,75839,66,44,DM_EM,TX,18,0,0,South,West_South_Central,Non-Payment,397,1,1,1,O,Y,C
HO,21136,67,,DM,MD,18,0,0,South,South_Atlantic,Non-Payment,399,2,1,1,T,Y,B
HO,37811,68,59,DM,TN,4,0,0,South,East_South_Central,Non-Payment,360,2,1,1,T,Y,B
HO,79907,69,,DM,TX,5,0,0,South,West_South_Central,No reason given (Y),2791,6,5,1,T,N,B
HO,60435,70,,DM,IL,5,0,0,Midwest,East_North_Central,Other Company (Y),613,1,1,1,O,Y,B
HO,82604,71,45,DM,WY,24,0,0,West,Mountain,Non-Payment,221,1,1,1,T,N,C
HO,22728,72,35,DM,VA,12,0,0,South,South_Atlantic,Non-Payment,333,1,1,1,T,Y,C
HO,77082,73,53,DM,TX,4,0,0,South,West_South_Central,Other Company (Y),553,1,1,1,O,Y,B
HO,21218,74,54,DM_EM,MD,18,0,0,South,South_Atlantic,Rate dissatisfaction (Y),2170,2,2,1,O,Y,B
HO,85546,75,,DM,AZ,9,0,0,West,Mountain,Non-Payment,1982,8,2,1,T,N,B
HO,29803,76,63,DM,SC,16,0,0,South,South_Atlantic,Other Company (Y),441,2,2,1,,Y,B
HO,71601,77,43,DM_EM,AR,12,0,0,South,West_South_Central,Other Company (Y),4147,1,1,1,,,
HO,55946,78,45,DM,MN,4,0,0,Midwest,West_North_Central,Others,943,2,4,1,O,Y,B
HO,85392,79,,DM_EM,AZ,12,0,0,West,Mountain,Other Company (Y),331,1,1,1,O,Y,C
HO,18702,80,31,DM_EM,PA,7,0,0,Northeast,Middle_Atlantic,Non-Payment,1064,1,1,1,T,N,C
HO,33142,81,,DM,FL,6,0,0,South,South_Atlantic,Rate dissatisfaction (Y),523,1,1,1,T,Y,B
HO,52302,82,40,DM,IA,13,0,0,Midwest,West_North_Central,Other Company (Y),882,1,1,1,O,Y,C
HO,1756,83,,DM_EM,MA,18,0,0,Northeast,New_England,Non-Payment,1738,2,2,1,T,N,D
HO,25003,84,25,DM,WV,8,0,0,South,South_Atlantic,Non-Payment,664,2,1,1,T,Y,C
HO,30041,85,,DM,GA,6,0,0,South,South_Atlantic,Other Company (Y),,,,1,T,Y,B
HO,19711,86,64,DM_EM,DE,24,0,0,South,South_Atlantic,Rate dissatisfaction (Y),938,2,2,1,O,N,B
HO,33705,87,21,DM_EM,FL,24,0,0,South,South_Atlantic,Non-Payment,3931,1,1,1,O,Y,D
HO,32246,88,34,DM,FL,17,0,0,South,South_Atlantic,Other Company (Y),1577,1,1,1,T,Y,C
HO,32578,89,,DM,FL,16,0,0,South,South_Atlantic,Others,352,1,1,1,T,Y,B
